text,cluster_id,topic
 In 1992 we bought a new Taurus and we really loved it  So in 1999 we decided to try a new Taurus  I did not care for the style of the newer version  but bought it anyway I do not like the new car half as much as i liked our other one  Thee dash is much to deep and takes up a lot of room  I do not find the seats as comfortable and the way the sides stick out further than the strip that should protect your card from denting It drives nice and has good pick up  But you can not see the hood at all from the driver seat and judging and parking is difficult  It has a very small gas tank I would not buy a Taurus if I had it to do over  I would rather have my 1992 back  I don t think the style is as nice as the the 1992  and it was a mistake to change the style  In less than a month we had a dead battery and a flat tire br br,3,Ford Taurus Reviews
 The last business trip  I drove to San Francisco  I went to Hertz Rentals and got a 1999 Ford Taurus  thinking it looked comfortable and professional  I found the seating to be uncomfortable for myself  as well as for my passenger Now  seating comfort may not be important to you  but it is to me The fuel usage was fine  the car did get us there with no problems  but  it was such an uncomfortable ride for both of us  It is not as though I am hard to fit into a car  I am 5 5  weigh 115 pounds  and I am usually quite comfortable in most any car  But  the Taurus seemed especially uncomfortable  For anyone who is thinking of renting a car for a long trip  I would suggest that the Ford Taurus  1999  not be on the list of  be sure to get this There was a large trunk that allowed us to pack a lot of materials needed for the business end of the trip  Driving it was a breeze  and everything  worked  right  I have no complaints about the standard making of the car  except in the comfort area  How important is comfort to you  On a long trip  being an uncomfortable driver is distracting to me  and it made the trip seem unnecessarily longer than it should have felt  I make this trip a lot  The Saturn would have been a better choice for me  as I have rented this model quite often  It offers comforts that the Taurus simply does not have If you are planning a long trip  or to buy a car that you intend to be comfortably seated in  check out the Taurus on a longer trial basis than you might another car  You may find the same thing happening to your comfort,2,Car Review Collection
 My husband and I purchased a 1990 Ford F250 and had nothing but problems  we have owned the vehicle approximately two years and it has spent at least half of that time in the shop The first problem was the valve covers were leaking  This problem took three days in the shop  When we went to pick it up  we found that the mechanic at the dealership did not replace parts that he had to take off  This took an additional week  Because of the poor design  fixing this vehicle was not found to be cheap  nor could just any mechanic do the work Next   within one week  the serpentine belt came off the pulleys and sheared off the air conditioning power plug  This also took nearly a week to fix  Cause of this problem was unknown Next  the clean air pump broke  again within a week  This took about four days to fix  When I picked up the truck after the air pump  I didn t realize at the time that the mechanic had not hooked back up a hose to the transmission  So  after driving it for three days  my transmission needed to be rebuilt  Due to unavailable parts  a new transmission replaced the old  Which was mated to a junk yard transfer case  This repair took about 5 days Truck vibrates at about 70 miles an hour  so we spent  1700  on a new front end  tires  balancing etc  This did not help the situation Within two weeks the serpentine belt was replaced for the second time since I bought the vehicle  The truck had 98 000 miles when I took over so I expected some problems don t get me wrong  but newer vehicles are said too have 200 000 mile motor s I noticed a large loss of power after said repairs  then began the costly fixes and diagnostics to find cause of power loss  The gas mileage at this point is about 10mpg never increasing the belt replacement continued till the present date at a belt every month  The truck went into the shop again for transmission leaks to a ford dealership where the problems found mounted  Once again unavailable and discontinued parts This is not even close to being all of the problems  but I think I ve said enough,1,Car Ownership Experiences
 I feel I have a thorough opinion of this truck compared to most who post evaluations of their vehicles  My truck has been owned by me since new and currently have 75k miles  I ve been meticulous with maintenance and treating my truck with normal duty activities  never exceeding the manufacturer s recommendations This is information regarding my vehicle and the excessive amount of problems found during an inspection 15 Sept 2003  It s reference for anyone else who has had the same problems or looking for information regarding warranties and extended warranties  You are welcome to give some feedback  VEHICLE  2000 FORD F150 5 4L 4x4 XLT w  Off Road   Tow Package 17  Rims  Everything factory install  all the top options included  EXTENDED WARRANTY  Purchased FORD s version 75K mile Bumper to Bumper coverage when new  50 deductible per drive in occurrence  DRIVING CONDITIONS  Never taken off road  Never towed anything of significant weight and Never used inappropriately Toward the last 400 miles of my 75K mile Ford purchased extended warranty bumper to bumper plan  the passenger side power door lock failed and the ABS light turned on  I brought it in to the dealer for an inspection along with some squeeking of the front end  thought it was a tire rim leak  PROBLEMS FOUND 1  All 4 tie rods  inners and outers  bad 2  Lower ball joints  bad 3  ABS Codes C1095 and C1096  ECU and HCU Controller and Module Assembly  bad 4  Passenger side door lock actuator  bad 5  Power Steering Pump  bad  air conditioning warranty replaced back at 30k miles  All items above were replaced under the purchased extended warranty bumber to bumber plan  EXCEPT a kit for the module assembly on the ABS  I will dispute that today  but had to pay for it to get it done  I am shocked that this much damage was found for a vehicle at only 75k miles proclaimed to be  Built Ford Tough  yet only offering a 36K mile manufacturer warranty  If I did not have the extended warranty  I could only guess the bill to pay for this The extended cab seating is extremely cramped  My friends refuse to be a passenger in the back  The rear bench seating is hard  very uncomfortable  General Motors seems to have very comfortable and roomy seating in their comparable models  The ignition is hidden and difficult to find  The stereo is second class for sound and tuning stations  especially AM  Factory installed tires have no significant grip traction after 10 000 miles  I recommend getting a spray in liner to help prevent the large dents and scratches that have happened in my truck  but not trucks that have been sprayed  The metal can t hold up and appears thin for the bed I do like the exterior look of the F150  The height is fantastic  I can see all around while driving  it certainly upsets small vehicle drivers behind me  tailgating me and assuming I m a slow road hog in the left lane  but when trying to pass  they see the road jammed full of cars in front of me  bumper to bumper  Accelerations and towing torque are very good  Although now I sense a loss or hesitation on a occasions when I have to suddenly put the petal to the medal to avoid accidents Expect to pay the value of your truck in maintenance costs from the dealer  They make their money on repairs and maintenance  very expensive  I m not complaining about this  but you buy and expensive truck  expect to pay for the maintenance,1,Car Ownership Experiences
 AS a mother of 3  all of whom are still in carseats  the only logical thing to do was to trade in my 200sx for a minivan  As the minivan is only one of a handful of vehicles that have the room my family requires  In addition  We bought a new one so the mechanical difficulties would be minimum I love the fact that the van seats so many people  I never have to worry about bringing 2 cars  Even if I have me kids with me the van seats added passengers  It does so in a roomy way as well I like the way the Windstar handles  It has great acceleration  I like the fact that you are able to see way infront of you while driving  But these features are almost always indicative of all vans  or at least most of them I hate the fact that this vehicle has broken down 4 times leaving myself and my children STRANDED on the side of the road  Each time we brought it back to the dealer where they said they fixed it  Each diagnosis was different  The engine lights continues to go on  to this day  This makes it difficult if not impossible for me to feel safe in the Windstar  Thankfully  my husband is quite mechanical The Windstar handles well  It is easy to steer and control  much like driving a car  Some vans have steering that is difficult The suspension on the Windstar leaves something to be desired  I have the privledge of feeling every bump The brakes are sound  I have yet to have them fail or squeak severly People who should buy this vehicle are those with alot of children or who need to transport alot of things  Anyone who enjoys sports cars   fast vehicles  should avoid this car br br,4,Ford SUV and Van
 The Ford Winstar is a car that I would not recommend purchasing  I have driven this van several times and I can t get used to it  The handling is horrible do to it s swaying feeling  It actually feels like the car is going to tip over in some turns  The side passenger window creates a blind spot  which I think is dangerous  Where the side window meets the windshield is where I think the problem is  When braking it also feels like the driver doesn t have control do to the car having a difficult time stopping quick  This car doesn t stop efficiently  it doesn t handle well and it also doesn t provide the driver with a very good frame of vision on the passenger side  I feel that this is a safety hazard not only to the driver and their passengers but also to everyone else on the road  Not recommended by me br br,4,Ford SUV and Van
 We bought this van in 1999  after having been a rental since it s  birth  Initially we loved it  It was everything we had dreamed about and more  There was plenty of room for 7 and rode extremely nice  even in the very back  We had heard nothing but good about this van  it s safety ratings  ease of driving  etc  It was the GL model  and had rear heat air and stereo controls  The front seats were bucket  while the two in back were bench  Everything about it was wonderful UNTIL We had around 70 000 miles on it and the transmission went out of it  Things seemed to roll downhill from there  We replaced the tranny and a few weeks later the interior of the sliding door fell off  It had constant problems with the ignition switch and was always dinging whether or not the keys were in it  the lights were on  whatever  The interior lights stayed on all the time as well  The door ajar light was always on  no matter what was done to ensure that all the doors were closed  No lie  a few times this van even started itself when the keys weren t even in it  The gas mileage was only about 17 18 mpg  The air conditioning would literally run you out it got so cold  We never did have any problems with the air or heat  It rode very nice  and drove very nice  but all in all  I d say it definately wasn t worth the money paid  and was more of a headache than it was worth,4,Ford SUV and Van
 I bought the Focus wagon for it s cargo space  It s great for camping and the hardware store  The ride is smooth and quiet  and it handles quite well  It has a solid feel compared to our Lancer  I wish the gas mileage were a little better  It does have nice features like an adjustable seat belt height in the front seat  big door pockets  seat warmers  The windshield wiper is still the best on the market  The biggest problem I have is that it leaks terribly in the back  I plan to take it in to get that fixed  I have had to clean the trunk carpet twice with a bleach solution to kill the mold mildew that has set in  The other issue I have is that the vent allows too much engine heat through in the summertime  This is a bummer if you are expecting cool air in the spring or fall to come through  The sun visors are almost useless as they do not go all the way forward  They sag too low and block too much of the road  I went from a Ford Escort wagon to this car  The Focus feels like a luxury car compared to the Escort  I will give this car a chance  If the leak cannot be fixed  I ll look for another car,4,Ford SUV and Van
 If you thought that the GMC Chevrolet Suburban was big  wait till you see the 2000 Ford Excursion  This vehicle dwarfs even the biggest of all SUV s  And in the race for the biggest and the baddest SUV s Ford takes the cake  Outside the vehicle closely resembles the Ford F350 with its front and grill  There is plenty of chrome to make it glitzy enough  It s big  The step in height is high even for a tall individual  and it takes quite some effort to get in  The tailgate is gigantic with two doors that swing wide out to the sides  Once inside  you will be lucky if you can get inside  you will notice an abundance of space  but it s not much more than the smaller Suburban  It s comfortable  but again a Dodge Caravan is just as nice in the inside as my opinion  The Limited version has a leather and wood interior and seating for up to nine  although most cars are outfitted for seven on eight people  It is comfortable and there enough space even in the way back  The vehicle is powerful enough for passing effectively on the highways and is comparable to the Suburban in accleration  But the handling  the handling is TERRIBLE  It s a truck  it s a truck disguised as a SUV  It s hard to maneuver  and the turning radius is horrible  If you are in the market for a vehicle with a lot of room  and with all wheel drive that can handle in the snow  a much better choice than the Excursion is the Dodge Caravan with all wheel drive  It s better on your wallet too  with a better price and its much better gas mileage br br,2,Car Review Collection
 I went for a test drive in a 2000 Excursion with the Eddie Bauer trim package with a friend who is looking to buy an SUV pretty soon  I ve always owned coupes and just one sedan in my lifetime  so this was very different for me  when i got behind the wheel so he cound ride in the back and check it out  I has a mix of feelings  I did feel like I was in tank or something because I was ridding high and felt the sheer magnitude of the truck as being something that was confidence inspiring  However  I didn t feel like I ws in control of the vehicle  Stoppng disances were super long and if something or someone happen to dart out in front of the truck  there was no way to safely swerve and aviod a most likely fatal collion with the victim  The truck rides nicely for it s size  The feel is very firm considering how large it is  The interior was done very nicely in leather trim  but I didn t at all like how it s simply kind of a dressed up Ford super duty truck interior  If you re paying over 36K for this thing  you deserve a little more exclusivisity  The exterior styling is very nice rough and rugged  The taillings are a little too similar to the econoline vans  but that s okay I suppose  My friend lives in a rural area and is involved in shipping large equipment on trailers  so it s the right kind of truck for him  However  I think people that simply buy this thing to use as a status symbol are pretty shallow and basically stupid  I don t see the logic is sayign you ve got the biggest and baddest truck out there when you have to pay over  60 to fill er up and use it to do things like go to the mall and take drive to work in alone while burning gasoline galore in gridlock  I d imagine parking this thing is a nightmare in tight urban spaces a parallel park might require one of those guys at the airport that guide the planes in with lighted torches  This vehicle also inspires a sense of false security and superiority in the event of a collision  People just simply think  quot If I crash  the other guy will die haha quot that might be true  but you ll pay later aside from the legal consequences  depending on if it was your fault you will have to live with the fact that because of the vehicle choice you made  you may have cripple  injured  or possibly even killed someone out there  The thing that s most frightening about this truck is that people who buy it in the city tend to be the type that chat away on cell phones all of the time that habit combined with the desructive potential of this thing can and will lead to many tragedies  You d think that the problem of teh wrong type of buyer getting this thing would be solved by the high gasoline prices  but that doesn t seem to be the case perhaps if we see prices over  2 50 per gallon  Bottom line  Ford made a good truck here  but it can t play big brother to control who buys people really need to become aware of the fact that SUV s do have dangers associted with them  i e  rollovers are more common  and make better choices  In the hands of the right buyer this truck is great,2,Car Review Collection
